[2025-08-31T02:06:15.501Z] [INFO] [T+0m] 🚀 Starting S2 — Unkillable Harness (2 Hours, Zero-Leak Cert)
[2025-08-31T02:06:15.504Z] [INFO] [T+0m] 📝 Logging to: s2-logs/s2-harness-2025-08-31T02-06-15-499Z.log
[2025-08-31T02:06:15.504Z] [INFO] [T+0m] 🔧 Setting up workspace plan...
[2025-08-31T02:06:15.529Z] [INFO] [T+0m] ✅ Workspace plan set to pro
[2025-08-31T02:06:15.529Z] [INFO] [T+0m] 🏃 Starting W1: Realistic Runs
[2025-08-31T02:06:15.529Z] [INFO] [T+0m] 🔄 Starting W2: SSE Churn
[2025-08-31T02:06:15.530Z] [INFO] [T+0m] 📦 Starting W3: Registry Pulse
[2025-08-31T02:06:15.530Z] [INFO] [T+0m] 🛡️ Starting W4: Safety Probes
[2025-08-31T02:06:15.530Z] [INFO] [T+0m] 🔒 Starting W5: Privacy Slice
[2025-08-31T02:06:15.530Z] [INFO] [T+0m] 🌪️ Starting W6: Light Chaos
[2025-08-31T02:06:15.530Z] [INFO] [T+0m] 📊 Starting Availability Monitor
[2025-08-31T02:06:15.531Z] [INFO] [T+0m] 📈 Starting Metrics Capture
[2025-08-31T02:06:15.539Z] [ERROR] [T+0m] 🔌 SSE sse-0 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.546Z] [ERROR] [T+0m] 🔌 SSE sse-1 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.547Z] [ERROR] [T+0m] 🔌 SSE sse-2 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.548Z] [ERROR] [T+0m] 🔌 SSE sse-3 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.548Z] [ERROR] [T+0m] 🔌 SSE sse-4 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.548Z] [ERROR] [T+0m] 🔌 SSE sse-5 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.549Z] [ERROR] [T+0m] 🔌 SSE sse-6 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.549Z] [ERROR] [T+0m] 🔌 SSE sse-7 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.550Z] [ERROR] [T+0m] 🔌 SSE sse-8 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.551Z] [ERROR] [T+0m] 🔌 SSE sse-9 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.551Z] [ERROR] [T+0m] 🔌 SSE sse-10 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.551Z] [ERROR] [T+0m] 🔌 SSE sse-11 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.552Z] [ERROR] [T+0m] 🔌 SSE sse-12 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.552Z] [ERROR] [T+0m] 🔌 SSE sse-13 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.552Z] [ERROR] [T+0m] 🔌 SSE sse-14 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.553Z] [ERROR] [T+0m] 🔌 SSE sse-15 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.553Z] [ERROR] [T+0m] 🔌 SSE sse-16 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.553Z] [ERROR] [T+0m] 🔌 SSE sse-17 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.554Z] [ERROR] [T+0m] 🔌 SSE sse-18 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:15.554Z] [ERROR] [T+0m] 🔌 SSE sse-19 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:17.576Z] [ERROR] [T+0m] 🔌 SSE sse-14 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:17.577Z] [ERROR] [T+0m] 🔌 SSE sse-19 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:17.792Z] [ERROR] [T+0m] 🔌 SSE sse-9 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:17.807Z] [ERROR] [T+0m] 🔌 SSE sse-18 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:17.838Z] [ERROR] [T+0m] 🔌 SSE sse-11 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:17.853Z] [ERROR] [T+0m] 🔌 SSE sse-6 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:17.885Z] [ERROR] [T+0m] 🔌 SSE sse-8 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:17.930Z] [ERROR] [T+0m] 🔌 SSE sse-15 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:18.071Z] [ERROR] [T+0m] 🔌 SSE sse-2 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:18.177Z] [ERROR] [T+0m] 🔌 SSE sse-10 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:18.241Z] [ERROR] [T+0m] 🔌 SSE sse-0 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:18.288Z] [ERROR] [T+0m] 🔌 SSE sse-12 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:18.319Z] [ERROR] [T+0m] 🔌 SSE sse-7 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:18.320Z] [ERROR] [T+0m] 🔌 SSE sse-13 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:18.396Z] [ERROR] [T+0m] 🔌 SSE sse-1 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:18.411Z] [ERROR] [T+0m] 🔌 SSE sse-4 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:18.442Z] [ERROR] [T+0m] 🔌 SSE sse-17 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:18.503Z] [ERROR] [T+0m] 🔌 SSE sse-3 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:18.534Z] [ERROR] [T+0m] 🔌 SSE sse-5 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:18.549Z] [ERROR] [T+0m] 🔌 SSE sse-16 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:19.923Z] [ERROR] [T+0m] 🔌 SSE sse-19 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.109Z] [ERROR] [T+0m] 🔌 SSE sse-18 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.140Z] [ERROR] [T+0m] 🔌 SSE sse-14 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.294Z] [ERROR] [T+0m] 🔌 SSE sse-9 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.309Z] [ERROR] [T+0m] 🔌 SSE sse-11 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.418Z] [ERROR] [T+0m] 🔌 SSE sse-8 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.496Z] [ERROR] [T+0m] 🔌 SSE sse-2 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.528Z] [ERROR] [T+0m] 🔌 SSE sse-13 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.620Z] [ERROR] [T+0m] 🔌 SSE sse-10 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.667Z] [ERROR] [T+0m] 🔌 SSE sse-15 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.806Z] [ERROR] [T+0m] 🔌 SSE sse-4 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.806Z] [ERROR] [T+0m] 🔌 SSE sse-7 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.822Z] [ERROR] [T+0m] 🔌 SSE sse-6 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.946Z] [ERROR] [T+0m] 🔌 SSE sse-16 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:20.947Z] [ERROR] [T+0m] 🔌 SSE sse-3 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:21.009Z] [ERROR] [T+0m] 🔌 SSE sse-0 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:21.179Z] [ERROR] [T+0m] 🔌 SSE sse-1 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:21.210Z] [ERROR] [T+0m] 🔌 SSE sse-5 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:21.288Z] [ERROR] [T+0m] 🔌 SSE sse-12 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:21.396Z] [ERROR] [T+0m] 🔌 SSE sse-17 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:22.326Z] [ERROR] [T+0m] 🔌 SSE sse-9 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:22.342Z] [ERROR] [T+0m] 🔌 SSE sse-19 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:22.434Z] [ERROR] [T+0m] 🔌 SSE sse-8 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:22.590Z] [ERROR] [T+0m] 🔌 SSE sse-11 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:22.667Z] [ERROR] [T+0m] 🔌 SSE sse-10 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:22.759Z] [ERROR] [T+0m] 🔌 SSE sse-2 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:22.836Z] [ERROR] [T+0m] 🔌 SSE sse-13 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:22.868Z] [ERROR] [T+0m] 🔌 SSE sse-14 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:22.961Z] [ERROR] [T+0m] 🔌 SSE sse-18 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:23.224Z] [ERROR] [T+0m] 🔌 SSE sse-6 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:23.255Z] [ERROR] [T+0m] 🔌 SSE sse-1 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:23.347Z] [ERROR] [T+0m] 🔌 SSE sse-16 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:23.488Z] [ERROR] [T+0m] 🔌 SSE sse-15 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:23.642Z] [ERROR] [T+0m] 🔌 SSE sse-0 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:23.673Z] [ERROR] [T+0m] 🔌 SSE sse-4 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:23.735Z] [ERROR] [T+0m] 🔌 SSE sse-7 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:23.750Z] [ERROR] [T+0m] 🔌 SSE sse-3 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:24.106Z] [ERROR] [T+0m] 🔌 SSE sse-12 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:06:24.183Z] [ERROR] [T+0m] 🔌 SSE sse-5 request error: 404 - {"error":"Run not found"}
