[2025-08-31T01:53:32.193Z] [INFO] [T+0m] 🚀 Starting S2 — Unkillable Harness (2 Hours, Zero-Leak Cert)
[2025-08-31T01:53:32.195Z] [INFO] [T+0m] 📝 Logging to: s2-logs/s2-harness-2025-08-31T01-53-32-190Z.log
[2025-08-31T01:53:32.196Z] [INFO] [T+0m] 🔧 Setting up workspace plan...
[2025-08-31T01:53:32.218Z] [INFO] [T+0m] ✅ Workspace plan set to pro
[2025-08-31T01:53:32.219Z] [INFO] [T+0m] 🏃 Starting W1: Realistic Runs
[2025-08-31T01:53:32.219Z] [INFO] [T+0m] 🔄 Starting W2: SSE Churn
[2025-08-31T01:53:32.219Z] [INFO] [T+0m] 📦 Starting W3: Registry Pulse
[2025-08-31T01:53:32.219Z] [INFO] [T+0m] 🛡️ Starting W4: Safety Probes
[2025-08-31T01:53:32.220Z] [INFO] [T+0m] 🔒 Starting W5: Privacy Slice
[2025-08-31T01:53:32.220Z] [INFO] [T+0m] 🌪️ Starting W6: Light Chaos
[2025-08-31T01:53:32.220Z] [INFO] [T+0m] 📊 Starting Availability Monitor
[2025-08-31T01:53:32.220Z] [INFO] [T+0m] 📈 Starting Metrics Capture
[2025-08-31T01:53:32.230Z] [ERROR] [T+0m] 🔌 SSE sse-0 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.238Z] [ERROR] [T+0m] 🔌 SSE sse-1 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.238Z] [ERROR] [T+0m] 🔌 SSE sse-2 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.239Z] [ERROR] [T+0m] 🔌 SSE sse-3 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.240Z] [ERROR] [T+0m] 🔌 SSE sse-4 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.240Z] [ERROR] [T+0m] 🔌 SSE sse-5 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.246Z] [ERROR] [T+0m] 🔌 SSE sse-6 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.247Z] [ERROR] [T+0m] 🔌 SSE sse-7 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.248Z] [ERROR] [T+0m] 🔌 SSE sse-8 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.249Z] [ERROR] [T+0m] 🔌 SSE sse-9 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.251Z] [ERROR] [T+0m] 🔌 SSE sse-10 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.253Z] [ERROR] [T+0m] 🔌 SSE sse-11 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.254Z] [ERROR] [T+0m] 🔌 SSE sse-12 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.257Z] [ERROR] [T+0m] 🔌 SSE sse-13 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.258Z] [ERROR] [T+0m] 🔌 SSE sse-14 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.261Z] [ERROR] [T+0m] 🔌 SSE sse-15 request error: 404 - {"error":"Run not found"}
[2025-08-31T01:53:32.262Z] [ERROR] [T+0m] 🔌 SSE sse-17 request error: 404 - {"error":"Run not found"}
