CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
8ffbdb43aa7d,0.41%,4.934MiB / 7.732GiB,445kB / 126B,846MB / 0B
8edd54f89b97,0.00%,28.66MiB / 7.732GiB,445kB / 126B,3.18GB / 54.1MB
6da7c788c585,6.50%,21.97MiB / 7.732GiB,38.1MB / 11.9MB,104MB / 0B
b19beb380050,0.00%,652.8MiB / 7.732GiB,2.17kB / 126B,665MB / 0B
