CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
8ffbdb43aa7d,0.22%,4.781MiB / 7.732GiB,445kB / 126B,1.07GB / 0B
8edd54f89b97,0.00%,28.8MiB / 7.732GiB,445kB / 126B,4GB / 54.1MB
6da7c788c585,3.21%,21.97MiB / 7.732GiB,66MB / 20.6MB,216MB / 0B
b19beb380050,0.00%,736.7MiB / 7.732GiB,2.17kB / 126B,762MB / 0B
