CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
b357a4c1caab,0.00%,20.24MiB / 7.732GiB,2.42kB / 2.14kB,5.76MB / 0B
8ffbdb43aa7d,0.23%,4.727MiB / 7.732GiB,191kB / 126B,683MB / 0B
8edd54f89b97,0.00%,28.89MiB / 7.732GiB,190kB / 126B,2.57GB / 54.1MB
6da7c788c585,3.16%,21.75MiB / 7.732GiB,107MB / 33.3MB,151MB / 0B
b19beb380050,0.00%,455.9MiB / 7.732GiB,2kB / 126B,604MB / 0B
