CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
b357a4c1caab,100.01%,1.49GiB / 7.732GiB,1.07GB / 455MB,9.38MB / 0B
8ffbdb43aa7d,0.23%,4.855MiB / 7.732GiB,191kB / 126B,683MB / 0B
8edd54f89b97,0.00%,29.03MiB / 7.732GiB,190kB / 126B,2.57GB / 54.1MB
6da7c788c585,0.24%,21.77MiB / 7.732GiB,136MB / 42.1MB,151MB / 0B
b19beb380050,0.00%,543.2MiB / 7.732GiB,2kB / 126B,608MB / 0B
