CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
8ffbdb43aa7d,0.26%,4.918MiB / 7.732GiB,445kB / 126B,902MB / 0B
8edd54f89b97,0.00%,28.47MiB / 7.732GiB,445kB / 126B,3.39GB / 54.1MB
6da7c788c585,0.24%,21.94MiB / 7.732GiB,47.7MB / 14.9MB,112MB / 0B
b19beb380050,0.00%,681.4MiB / 7.732GiB,2.17kB / 126B,710MB / 0B
