CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
b357a4c1caab,99.49%,992.2MiB / 7.732GiB,709MB / 289MB,9.38MB / 0B
8ffbdb43aa7d,0.27%,4.855MiB / 7.732GiB,191kB / 126B,683MB / 0B
8edd54f89b97,5.99%,29.05MiB / 7.732GiB,190kB / 126B,2.57GB / 54.1MB
6da7c788c585,4.03%,21.77MiB / 7.732GiB,126MB / 39.1MB,151MB / 0B
b19beb380050,0.00%,515.1MiB / 7.732GiB,2kB / 126B,608MB / 0B
