CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
b357a4c1caab,104.52%,523.3MiB / 7.732GiB,362MB / 151MB,9.38MB / 0B
8ffbdb43aa7d,0.25%,4.852MiB / 7.732GiB,191kB / 126B,683MB / 0B
8edd54f89b97,0.00%,29.03MiB / 7.732GiB,190kB / 126B,2.57GB / 54.1MB
6da7c788c585,4.69%,21.78MiB / 7.732GiB,116MB / 36.2MB,151MB / 0B
b19beb380050,0.00%,483.3MiB / 7.732GiB,2kB / 126B,608MB / 0B
