CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
8ffbdb43aa7d,0.36%,4.613MiB / 7.732GiB,445kB / 126B,774MB / 0B
8edd54f89b97,0.00%,28.52MiB / 7.732GiB,445kB / 126B,2.92GB / 54.1MB
6da7c788c585,0.00%,21.63MiB / 7.732GiB,30.3MB / 9.41MB,61MB / 0B
b19beb380050,0.00%,624.6MiB / 7.732GiB,2.17kB / 126B,641MB / 0B
