CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
8ffbdb43aa7d,0.30%,4.883MiB / 7.732GiB,445kB / 126B,683MB / 0B
8edd54f89b97,0.00%,29.02MiB / 7.732GiB,445kB / 126B,2.57GB / 54.1MB
6da7c788c585,0.00%,20.91MiB / 7.732GiB,17.3MB / 5.36MB,6.43MB / 0B
b19beb380050,0.00%,599.5MiB / 7.732GiB,2.17kB / 126B,608MB / 0B
