CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
8ffbdb43aa7d,0.33%,4.672MiB / 7.732GiB,445kB / 126B,717MB / 0B
8edd54f89b97,0.01%,28.54MiB / 7.732GiB,445kB / 126B,2.7GB / 54.1MB
6da7c788c585,0.00%,21.03MiB / 7.732GiB,23MB / 7.13MB,11.9MB / 0B
b19beb380050,0.00%,624.7MiB / 7.732GiB,2.17kB / 126B,638MB / 0B
