CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
8ffbdb43aa7d,3.47%,4.844MiB / 7.732GiB,445kB / 126B,1.15GB / 0B
8edd54f89b97,0.01%,28.84MiB / 7.732GiB,445kB / 126B,4.34GB / 54.1MB
6da7c788c585,3.73%,21.97MiB / 7.732GiB,77.4MB / 24.1MB,229MB / 0B
b19beb380050,0.00%,765.4MiB / 7.732GiB,2.17kB / 126B,832MB / 0B
