CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
b357a4c1caab,100.92%,1.941GiB / 7.732GiB,1.44GB / 622MB,9.38MB / 0B
8ffbdb43aa7d,0.25%,4.859MiB / 7.732GiB,191kB / 126B,683MB / 0B
8edd54f89b97,0.00%,29.04MiB / 7.732GiB,190kB / 126B,2.57GB / 54.1MB
6da7c788c585,3.62%,21.39MiB / 7.732GiB,7.92MB / 2.46MB,6.43MB / 0B
b19beb380050,0.00%,571.2MiB / 7.732GiB,2.17kB / 126B,608MB / 0B
