CONTAINER,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O
8ffbdb43aa7d,0.29%,4.609MiB / 7.732GiB,445kB / 126B,986MB / 0B
8edd54f89b97,5.89%,28.61MiB / 7.732GiB,445kB / 126B,3.7GB / 54.1MB
6da7c788c585,3.34%,21.98MiB / 7.732GiB,57.3MB / 17.9MB,163MB / 0B
b19beb380050,0.00%,708.7MiB / 7.732GiB,2.17kB / 126B,739MB / 0B
