ts,ok,response_time_ms,error
2025-08-20T01:18:09.443Z,0,0,"fetch failed"
2025-08-20T01:18:19.448Z,0,0,"fetch failed"
2025-08-20T01:18:29.459Z,0,0,"fetch failed"
2025-08-20T01:18:39.474Z,0,0,"fetch failed"
2025-08-20T01:18:49.485Z,0,0,"fetch failed"
2025-08-20T01:18:59.500Z,0,0,"fetch failed"
2025-08-20T01:19:09.504Z,0,0,"fetch failed"
2025-08-20T01:19:19.511Z,0,0,"fetch failed"
2025-08-20T01:19:29.523Z,0,0,"fetch failed"
2025-08-20T01:19:39.540Z,0,0,"fetch failed"
2025-08-20T01:19:49.545Z,0,0,"fetch failed"
2025-08-20T01:19:59.547Z,0,0,"fetch failed"
2025-08-20T01:20:09.563Z,0,0,"fetch failed"
2025-08-20T01:20:19.577Z,0,0,"fetch failed"
2025-08-20T01:20:29.589Z,0,0,"fetch failed"
2025-08-20T01:20:39.598Z,0,0,"fetch failed"
2025-08-20T01:20:49.600Z,0,0,"fetch failed"
2025-08-20T01:20:59.613Z,0,0,"fetch failed"
2025-08-20T01:21:09.620Z,0,0,"fetch failed"
2025-08-20T01:21:19.630Z,0,0,"fetch failed"
2025-08-20T01:21:29.640Z,0,0,"fetch failed"
2025-08-20T01:21:39.653Z,0,0,"fetch failed"
2025-08-20T01:21:49.663Z,0,0,"fetch failed"
2025-08-20T01:21:59.672Z,0,0,"fetch failed"
2025-08-20T01:22:09.684Z,0,0,"fetch failed"
2025-08-20T01:22:19.699Z,0,0,"fetch failed"
2025-08-20T01:22:29.709Z,0,0,"fetch failed"
2025-08-20T01:22:39.720Z,0,0,"fetch failed"
2025-08-20T01:22:49.732Z,0,0,"fetch failed"
2025-08-20T01:22:59.740Z,0,0,"fetch failed"
2025-08-20T01:23:09.750Z,0,0,"fetch failed"
2025-08-20T01:23:19.760Z,0,0,"fetch failed"
2025-08-20T01:23:29.774Z,0,0,"fetch failed"
2025-08-20T01:23:39.788Z,0,0,"fetch failed"
2025-08-20T01:23:49.799Z,0,0,"fetch failed"
2025-08-20T01:23:59.810Z,0,0,"fetch failed"
2025-08-20T01:24:09.824Z,0,0,"fetch failed"
2025-08-20T01:24:19.836Z,0,0,"fetch failed"
2025-08-20T01:24:29.853Z,0,0,"fetch failed"
2025-08-20T01:24:39.867Z,0,0,"fetch failed"
2025-08-20T01:24:49.875Z,0,0,"fetch failed"
