[2025-08-30T13:00:56.918Z] [INFO] [T+0m] 📝 Logging to: s2-logs/s2-smoke-2025-08-30T13-00-56-916Z.log
[2025-08-30T13:00:56.919Z] [INFO] [T+0m] 🏃 Starting W1: Realistic Runs
[2025-08-30T13:00:56.919Z] [INFO] [T+0m] 🔄 Starting W2: SSE Churn
[2025-08-30T13:00:56.938Z] [INFO] [T+0m] 📦 Starting W3: Registry Pulse
[2025-08-30T13:00:56.938Z] [INFO] [T+0m] 🛡️ Starting W4: Safety Probes
[2025-08-30T13:00:56.938Z] [INFO] [T+0m] 🔒 Starting W5: Privacy Slice
[2025-08-30T13:00:56.939Z] [INFO] [T+0m] 🌪️ Starting W6: Light Chaos (disabled for smoke test)
[2025-08-30T13:00:56.939Z] [INFO] [T+0m] 📊 Starting Availability Monitor
[2025-08-30T13:00:56.952Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-08-30T13:00:56.952Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-08-30T13:00:56.953Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:00:56.953Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-08-30T13:00:56.953Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:00:56.953Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:00:56.953Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-08-30T13:00:56.954Z] [ERROR] [T+0m] SSE sse-7 request error: 
[2025-08-30T13:00:56.954Z] [ERROR] [T+0m] SSE sse-8 request error: 
[2025-08-30T13:00:56.955Z] [ERROR] [T+0m] SSE sse-9 request error: 
[2025-08-30T13:00:56.955Z] [ERROR] [T+0m] SSE sse-10 request error: 
[2025-08-30T13:00:56.956Z] [ERROR] [T+0m] SSE sse-11 request error: 
[2025-08-30T13:00:56.956Z] [ERROR] [T+0m] SSE sse-12 request error: 
[2025-08-30T13:00:56.956Z] [ERROR] [T+0m] SSE sse-13 request error: 
[2025-08-30T13:00:56.957Z] [ERROR] [T+0m] SSE sse-14 request error: 
[2025-08-30T13:00:56.957Z] [ERROR] [T+0m] SSE sse-15 request error: 
[2025-08-30T13:00:56.957Z] [ERROR] [T+0m] SSE sse-16 request error: 
[2025-08-30T13:00:56.958Z] [ERROR] [T+0m] SSE sse-17 request error: 
[2025-08-30T13:00:56.958Z] [ERROR] [T+0m] SSE sse-18 request error: 
[2025-08-30T13:00:56.958Z] [ERROR] [T+0m] SSE sse-19 request error: 
[2025-08-30T13:00:58.220Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-08-30T13:00:58.220Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-08-30T13:00:58.220Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:00:58.220Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-08-30T13:00:58.221Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:00:58.221Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:00:58.221Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-08-30T13:00:58.221Z] [ERROR] [T+0m] SSE sse-7 request error: 
